Area,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,EVI,LAI,FPAR,Soil_Moisture_mm,NDVI_Season_Mean,NDVI_Season_Max,NDVI_Season_Min,NDVI_Season_Std,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,CN_Ratio,pH_Suitability,Dominant_Soil_Texture,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat,Rainfall,Heat_Stress_Days,Wind_Mean,Wind_Max,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat,LST_C,is_extreme_Heat_Stress_Days,is_extreme_Wind_Max,Yield
83,Bagerhat,Kharif 1,25.0,70.0,Green Papaya,June,June To August,August To September,1434.0,30,20.0,80,60,0.3081769511973575,1.8112869864403789,0.41694419034076313,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.4362,0.4779,0.0416,1.0947,Optimal,656.33,42.5,2.48188524590164,5.86,22.73,High Risk,1,28.431973387990638,1,0,17.27710843373494
167,Bagerhat,Kharif 1,25.0,70.0,Amra,June,June To August,August To September,1119.0,30,20.0,80,60,0.3081769511973575,1.8112869864403789,0.41694419034076313,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.4362,0.4779,0.0416,1.0947,Optimal,656.33,42.5,2.48188524590164,5.86,22.73,High Risk,1,28.431973387990638,1,0,6.700598802395209
490,Bagerhat,Kharif 1,25.0,70.0,Wood Apple,May,June To August,August To September,490.0,30,20.0,80,60,0.3081769511973575,1.8112869864403789,0.41694419034076313,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.4043,0.4465,0.0423,1.1072,Optimal,656.33,42.5,2.48188524590164,5.86,22.73,High Risk,1,28.431973387990638,1,0,1.0
1007,Bagerhat,Kharif 1,25.0,70.0,Green Coconut,May,June To August,August To September,29063.0,30,20.0,80,60,0.3081769511973575,1.8112869864403789,0.41694419034076313,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.4043,0.4465,0.0423,1.1072,Optimal,656.33,42.5,2.48188524590164,5.86,22.73,High Risk,1,28.431973387990638,1,0,28.860973187686195
35,Bagerhat,Kharif 2,23.5,61.0,Oal Kachu,September,Oct To Dec,Dec To Feb,68.0,32,15.0,70,52,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3941,0.4599,0.0657,1.1818,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,1.9428571428571428
457,Bagerhat,Kharif 2,25.0,72.5,Barbati,September,Oct To Dec,December To April,545.0,30,20.0,85,60,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3432,0.4222,0.079,1.2905,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,1.1925601750547046
459,Bagerhat,Kharif 2,21.0,70.0,Puishak,August,Sep To Jan,Feb,1309.0,30,12.0,75,65,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.4039,0.4663,0.0624,1.1687,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,2.8518518518518516
611,Bagerhat,Kharif 2,21.0,70.0,Palong Shak,August,Sep To Jan,Feb,1848.0,30,12.0,75,65,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.4039,0.4663,0.0624,1.1687,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,3.0245499181669393
265,Bagerhat,Rabi,31.0,48.75,Sesame,November,Dec To Jan,Feb,75.0,35,27.0,65,45,0.3116314170521451,2.4183504530287765,0.6314994967167126,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3449,0.4236,0.0787,1.2333,Optimal,220.43,0.0,1.4529166666666666,4.33,11.23,Low Risk,0,24.14452499799603,0,0,0.2830188679245283
149,Bagerhat,Kharif 2,25.0,67.5,Garlic,October,Nov To Jan,Feb,202.0,30,20.0,70,65,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3731,0.4449,0.0718,1.2044,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,1.3557046979865772
470,Bagerhat,Kharif 2,19.0,77.5,Cauliflower,September,Nov To Jan,Feb,2514.0,30,8.0,85,70,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3758,0.4458,0.07,1.2004,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,5.348936170212766
767,Bagerhat,Kharif 2,17.0,75.0,Cabbage,September,Oct To Jan,Feb,4772.0,24,10.0,90,60,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3941,0.4599,0.0657,1.1818,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,6.2216427640156455
1465,Bagerhat,Kharif 2,22.5,75.0,Rape & Mustard,October,Nov To Feb,Feb To April,373.0,30,15.0,85,65,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.321,0.4061,0.0852,1.3222,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,0.2546075085324232
2070,Bagerhat,Kharif 1,20.5,72.5,Date Palm,April,April To May,Feb To March,2226.0,35,6.0,85,60,0.3081769511973575,1.8112869864403789,0.41694419034076313,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2226,0.3334,0.1109,1.5204,Optimal,656.33,42.5,2.48188524590164,5.86,22.73,High Risk,1,28.431973387990638,1,0,1.0753623188405796
1449,Bagerhat,Kharif 2,15.0,90.0,Lentil,October,Nov To Feb,Feb To March,491.0,20,10.0,95,85,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3452,0.4253,0.0801,1.2677,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,0.3388543823326432
716,Bagerhat,Rabi,20.0,60.0,Boroi,July,December To February,February To March,1058.0,25,15.0,70,50,0.3116314170521451,2.4183504530287765,0.6314994967167126,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2989,0.3873,0.0884,1.3428,Optimal,220.43,0.0,1.4529166666666666,4.33,11.23,Low Risk,0,24.14452499799603,0,0,1.4776536312849162
51,Bagerhat,Kharif 1,32.5,65.0,Taramind,February,March To April,February To May,145.0,40,25.0,80,50,0.3081769511973575,1.8112869864403789,0.41694419034076313,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2361,0.3304,0.0943,1.4296,Optimal,656.33,42.5,2.48188524590164,5.86,22.73,High Risk,1,28.431973387990638,1,0,2.843137254901961
2077,Bagerhat,Rabi,25.0,80.0,Banana,January,Jan To Jan,Jan,8637.0,35,15.0,85,75,0.3116314170521451,2.4183504530287765,0.6314994967167126,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3284,0.4067,0.0784,1.2349,Optimal,220.43,0.0,1.4529166666666666,4.33,11.23,Low Risk,0,24.14452499799603,0,0,4.158401540683679
89,Bagerhat,Rabi,17.5,77.5,Lemon,January,Jan To Jan,Jan,392.0,25,10.0,95,60,0.3116314170521451,2.4183504530287765,0.6314994967167126,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3284,0.4067,0.0784,1.2349,Optimal,220.43,0.0,1.4529166666666666,4.33,11.23,Low Risk,0,24.14452499799603,0,0,4.404494382022472
58,Bagerhat,Kharif 1,24.0,70.0,Safeda,April,April To May,Jan To March,1332.0,38,10.0,80,60,0.3081769511973575,1.8112869864403789,0.41694419034076313,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.249,0.3518,0.1028,1.449,Optimal,656.33,42.5,2.48188524590164,5.86,22.73,High Risk,1,28.431973387990638,1,0,22.96551724137931
39,Bagerhat,Kharif 2,27.5,72.5,Patal,August,Sep To Jan,Jan To March,67.0,35,20.0,85,60,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3791,0.449,0.0698,1.2206,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,1.7179487179487178
636,Bagerhat,Kharif 2,26.5,80.0,Gourd,July,Aug To Jan,Jan To March,2506.0,35,18.0,85,75,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3819,0.4494,0.0674,1.209,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,3.940251572327044
4459,Bagerhat,Kharif 2,30.0,80.0,Betelnut,July,Aug To Jan,Jan To March,9421.0,35,25.0,90,70,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3819,0.4494,0.0674,1.209,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,2.1128055617851538
517,Bagerhat,Kharif 1,22.5,75.0,Chalkumra,March,April To July,July To Oct,1202.0,27,18.0,85,65,0.3081769511973575,1.8112869864403789,0.41694419034076313,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3611,0.4227,0.0616,1.2322,Optimal,656.33,42.5,2.48188524590164,5.86,22.73,High Risk,1,28.431973387990638,1,0,2.3249516441005804
160,Bagerhat,Kharif 1,25.0,72.5,Kakrol,April,May To July,July To Sep,258.0,30,20.0,85,60,0.3081769511973575,1.8112869864403789,0.41694419034076313,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3662,0.4207,0.0545,1.1975,Optimal,656.33,42.5,2.48188524590164,5.86,22.73,High Risk,1,28.431973387990638,1,0,1.6125
35,Bagerhat,Kharif 2,25.0,70.0,Black Berry,June,July To August,June To September,386.0,30,20.0,75,65,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.4362,0.4779,0.0416,1.0947,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,11.028571428571428
63,Bagerhat,Kharif 2,30.0,80.0,Jamrul,June,July To August,June To September,302.0,35,25.0,90,70,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.4362,0.4779,0.0416,1.0947,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,4.7936507936507935
316,Bagerhat,Kharif 1,23.0,80.0,Jhinga,April,May To June,June To Aug,561.0,28,18.0,90,70,0.3081769511973575,1.8112869864403789,0.41694419034076313,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3396,0.3978,0.0583,1.2232,Optimal,656.33,42.5,2.48188524590164,5.86,22.73,High Risk,1,28.431973387990638,1,0,1.7753164556962024
46,Bagerhat,Kharif 2,26.5,75.0,Pineapple,September,Sep To May,June To Aug,61.0,35,18.0,80,70,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3557,0.423,0.0673,1.2326,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,1.326086956521739
454,Bagerhat,Kharif 1,20.0,80.0,Lady’S Finger,April,May To June,June To Sep,618.0,30,10.0,85,75,0.3081769511973575,1.8112869864403789,0.41694419034076313,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3662,0.4207,0.0545,1.1975,Optimal,656.33,42.5,2.48188524590164,5.86,22.73,High Risk,1,28.431973387990638,1,0,1.3612334801762114
45,Bagerhat,Kharif 2,18.0,66.5,Carrot,October,Nov To Feb,March,94.0,21,15.0,86,47,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3452,0.4253,0.0801,1.2677,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,2.088888888888889
721,Bagerhat,Kharif 2,16.0,85.0,Radish,October,Nov To Feb,March,3706.0,22,10.0,95,75,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3452,0.4253,0.0801,1.2677,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,5.140083217753121
854,Bagerhat,Rabi,22.5,60.0,Chili,October,Nov To March,March To April,483.0,30,15.0,70,50,0.3116314170521451,2.4183504530287765,0.6314994967167126,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.321,0.4061,0.0852,1.3222,Optimal,220.43,0.0,1.4529166666666666,4.33,11.23,Low Risk,0,24.14452499799603,0,0,0.5655737704918032
328,Bagerhat,Rabi,20.0,67.5,Onion,October,Nov To March,March To April,741.0,25,15.0,70,65,0.3116314170521451,2.4183504530287765,0.6314994967167126,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.321,0.4061,0.0852,1.3222,Optimal,220.43,0.0,1.4529166666666666,4.33,11.23,Low Risk,0,24.14452499799603,0,0,2.2591463414634148
18,Bagerhat,Rabi,20.0,67.5,Ginger,October,Nov To March,March To April,28.0,25,15.0,75,60,0.3116314170521451,2.4183504530287765,0.6314994967167126,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.321,0.4061,0.0852,1.3222,Optimal,220.43,0.0,1.4529166666666666,4.33,11.23,Low Risk,0,24.14452499799603,0,0,1.5555555555555556
141,Bagerhat,Kharif 2,22.5,82.5,Motor,October,Nov To March,March To April,45.0,30,15.0,90,75,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.321,0.4061,0.0852,1.3222,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,0.3191489361702128
