ADM1_NAME,ADM2_NAME,month,ssm,susm,year
Khulna,Bagerhat,1,8.486410026214655,35.90242242564366,2022
Khulna,Chuadanga,1,8.902252569271642,52.85278825449502,2022
Khulna,Jessore,1,6.359010926242888,38.347893956677595,2022
Khulna,Jhenaidah,1,10.183639334865621,61.970441532814604,2022
Khulna,Khulna,1,7.485647119264881,37.75570602394878,2022
Khulna,Kushtia,1,8.361752507769465,49.60360551790739,2022
Khulna,Magura,1,11.196215728392085,69.1551068553826,2022
Khulna,Meherpur,1,8.74615163843987,50.69288233136569,2022
Khulna,Narail,1,6.852710048531926,44.65735975204154,2022
Khulna,Satkhira,1,6.321991989683211,30.106536926137345,2022
Sylhet,Habiganj,1,8.202338857202491,52.50899547951244,2022
Sylhet,Maulvibazar,1,7.975743080520735,50.91458912751375,2022
Sylhet,Sunamganj,1,6.03764263094196,41.29399391344929,2022
Sylhet,Sylhet,1,6.148209340976263,39.6043470939626,2022
Rajshahi,Bogra,1,5.388118242023636,33.45671331795547,2022
Rajshahi,Joypurhat,1,5.508317821217281,34.88722955606281,2022
Rajshahi,Naogaon,1,5.067754934612461,31.662584324814663,2022
Rajshahi,Natore,1,7.760732827801658,48.62495747078974,2022
Rajshahi,Nawabganj,1,4.903988173185089,31.72572779970456,2022
Rajshahi,Pabna,1,7.500322587289333,45.24465189913633,2022
Rajshahi,Rajshahi,1,5.629499135978658,35.729328637273476,2022
Rajshahi,Sirajganj,1,4.857027244873318,29.356903238534088,2022
Rangpur,Dinajpur,1,4.855641855969131,29.612530536215484,2022
Rangpur,Gaibandha,1,4.497456213181158,26.754959266115158,2022
Rangpur,Kurigram,1,3.886210490094038,23.887454061217458,2022
Rangpur,Lalmonirhat,1,5.637966923203756,34.5949300550628,2022
Rangpur,Nilphamari,1,4.64605167146422,27.73775026574094,2022
Rangpur,Panchagarh,1,4.615088295839569,23.631512346975917,2022
Rangpur,Rangpur,1,6.128399110029326,37.06567931531298,2022
Rangpur,Thakurgaon,1,4.174345691835849,24.522123541829167,2022
Barisal,Barguna,1,11.388562862633748,40.290962634278394,2022
Barisal,Barisal,2,5.937987106888192,33.44796310046542,2022
Barisal,Bhola,2,11.55308706842699,32.763491955262566,2022
Barisal,Jhalokati,2,4.8323484596818,26.22503925016684,2022
Barisal,Patuakhali,2,10.566506248262126,24.80376295886392,2022
Barisal,Pirojpur,2,5.150601963896369,28.479852788750573,2022
Chittagong,Bandarban,2,2.9411953658854793,18.580222140601983,2022
Chittagong,Brahamanbaria,2,5.760293273351689,32.47617908423583,2022
Chittagong,Chandpur,2,4.1865422360699736,23.72792066170558,2022
Chittagong,Chittagong,2,7.423357474158802,25.65118882785976,2022
Chittagong,Comilla,2,6.934656305888524,43.01140283043971,2022
Chittagong,Cox's Bazar,2,12.697087532905387,14.907587921509474,2022
Chittagong,Feni,2,10.404199611414013,47.539982482575624,2022
Chittagong,Khagrachhari,2,6.172527021644391,38.47430079565037,2022
Chittagong,Lakshmipur,2,7.672608132136432,43.09725640170888,2022
Chittagong,Noakhali,2,15.851050854956677,46.028260988624915,2022
Chittagong,Rangamati,2,3.3769123519216806,19.99087297061375,2022
Dhaka,Dhaka,2,6.298938140432697,40.415095034917805,2022
Dhaka,Faridpur,2,7.899661639454123,49.711088326123146,2022
Dhaka,Gazipur,2,9.324196440578111,66.86409206409667,2022
Dhaka,Gopalganj,2,6.339837104956932,44.927871897729176,2022
Dhaka,Jamalpur,2,10.110550618799541,51.14046383829307,2022
Dhaka,Kishoreganj,2,7.136839497124198,38.12634319066173,2022
Dhaka,Madaripur,2,4.714167485922566,27.86625068433789,2022
Dhaka,Manikganj,2,7.898368569085709,45.88069344936624,2022
Dhaka,Munshiganj,2,4.180400952238042,24.748433956579763,2022
Dhaka,Mymensingh,2,8.398612078137164,44.83905378051761,2022
Dhaka,Narayanganj,2,4.186077287283997,29.43296771810002,2022
Dhaka,Narsingdi,2,6.547544794129262,42.09446022454439,2022
Dhaka,Netrakona,2,6.9698851276818035,38.86263362548473,2022
Dhaka,Rajbari,2,11.615966458329599,70.77595090357224,2022
Dhaka,Shariatpur,2,3.856922070893699,22.37502728555996,2022
