ADM2_NAME,ADM2_CODE,Month,Year,EVI_mean,LAI_mean,FPAR_mean,LST_Kelvin_mean,Soil_Moisture_mm_mean,FPAR_count
Tangail,5794,1,2022,0.3031216168942717,-298.90953005055496,-304.3575568639089,294.94282199233095,7.487259701921951,15268
Bagerhat,5795,1,2022,-38.40555652934047,-1971.0836515720157,-2150.1280213911205,251.69465507215403,8.9891973873983,17129
Chuadanga,5796,1,2022,0.3863006964909074,-19.894554783355396,-20.620088516527737,295.0488965640637,8.651210399451637,5178
Jessore,5797,1,2022,-0.6355126722971153,-218.46285711116852,-230.4938164849999,295.229376662467,6.618025678748358,11625
Jhenaidah,5798,1,2022,0.3043106087696318,-48.1138416133229,-48.556599889310235,295.5745632908628,10.05389117507468,8985
Khulna,5799,1,2022,-28.07069608466496,-3689.1305698665324,-3826.3677073164317,255.238691057499,8.507945098624335,16836
Kushtia,5800,1,2022,0.345724090236069,-692.5495439662991,-694.4955417522896,294.8376205420693,8.43000753218036,7714
Magura,5801,1,2022,0.2814401173215576,-73.63385058643615,-74.01799877947191,295.88367959677896,11.073628518920575,4809
Meherpur,5802,1,2022,0.4264172890668281,-42.893174829591466,-43.737230307016155,294.8549311876261,8.759352049330058,3120
Narail,5803,1,2022,0.26661478285345014,-111.67819868842959,-112.06743525082223,295.4659493225717,6.966282538141899,4549
Satkhira,5804,1,2022,-53.085888796264086,-4289.663552052197,-4480.478948808781,242.25794745662358,6.890216261429465,15413
Habiganj,5821,1,2022,0.24437960361844357,-889.2986289656071,-921.3086914938445,296.0452230537533,8.825352760382017,11905
Maulvibazar,5822,1,2022,0.30312081352043924,-749.5101207919895,-767.1732049865875,295.8772530396376,8.128200692979595,11701
Sunamganj,5823,1,2022,0.23596383315283237,-2933.6692725856474,-3010.712930984709,295.34492258008225,6.018659857538416,16708
Sylhet,5824,1,2022,0.27112426127265626,-367.92974163016964,-396.9666380006683,296.1830464427475,5.815836198883956,15819
Bogra,5805,1,2022,0.2814943262251142,-770.5522442689199,-771.6738354916763,232.2737737759674,5.475014302751924,13430
Joypurhat,5808,1,2022,0.4077045516730544,-124.59043745670895,-125.19453600459468,186.64596405418422,5.26249335814402,4572
Naogaon,5811,1,2022,0.2588790229327388,-290.17954703640606,-290.4561991909266,-206.91063617769916,5.046927282405061,15831
Natore,5812,1,2022,-0.902978508929881,-267.4939156771783,-267.9509883218377,241.71468012656135,7.368454744853466,8813
Nawabganj,5813,1,2022,0.2857391112535968,-469.9109135243681,-470.23742883399694,294.11063921529137,5.078306882247214,7588
Pabna,5815,1,2022,-0.6280335944092265,-689.3674907012052,-689.8579072327904,295.08318614447074,7.59552296030142,10906
Rajshahi,5817,1,2022,-2.4971184542118863,-602.108492510922,-603.5053440748961,294.3629453832692,5.570509598800231,11068
Sirajganj,5819,1,2022,-0.629839775651778,-1380.9894609120722,-1381.3609511369318,294.78057556724025,5.126699756790525,11445
Dinajpur,5806,1,2022,0.2701842866869256,-142.28251474103698,-142.56679739318912,-160.96009253882218,4.816070903041324,15870
Gaibandha,5807,1,2022,0.21370902334290579,-918.4835400850116,-918.6655210355835,286.336713670728,4.545134762952233,10042
Kurigram,5809,1,2022,0.20499665110858767,-1301.5498377660265,-1301.711767271745,294.69142017217206,3.8021343762877726,10354
Lalmonirhat,5810,1,2022,0.3015040634872642,-77.00210886207458,-77.40282204533665,294.26306121954195,5.435672951092521,5905
Nilphamari,5814,1,2022,0.272183092701903,-171.94033452928477,-172.23545178973768,293.8910120824588,4.678272400959525,7639
Panchagarh,5816,1,2022,0.2709797142692556,-10.571152981824394,-12.500675140722548,294.36258626088585,4.431340617798384,6581
Rangpur,5818,1,2022,0.29289416355906867,-115.55871149166578,-115.89721749693709,294.226921853674,6.047433470363544,10708
Thakurgaon,5820,1,2022,0.3579453798354573,-92.38820409740995,-92.85872057826631,294.1369436260055,4.209302512972253,8363
Barguna,5761,1,2022,-125.67938620911606,-1233.2744560078404,-1241.427995041738,128.70114968239855,13.311782057666294,6587
