ADM1_NAME,ADM2_NAME,NDVI_Month_1,NDVI_Month_2,NDVI_Month_3,NDVI_Month_4,NDVI_Month_5,NDVI_Month_6,NDVI_Month_7,NDVI_Month_8,NDVI_Month_9,NDVI_Month_10,NDVI_Month_11,NDVI_Month_12,NDVI_early,NDVI_mid,NDVI_late,NDVI_std,NDVI_prev_season
Dhaka,Munshiganj,0.5176308605426845,0.5975452124775439,0.54715714905259,0.4927526082772574,0.42649459040482895,0.4460160425811196,0.5759537112957649,0.5623927624890895,0.5546171246528733,0.5739088518222206,0.5027895144676527,0.43331780654161206,0.5341024019363746,0.5002259103689441,0.4921528318886393,0.13668756965777612,0.5026590431495841
Dhaka,Mymensingh,0.42224765189480756,0.5040969106080719,0.6539049232521009,0.6174924065146425,0.4194214251912261,0.4059465406832297,0.5582350795221086,0.5706137900697281,0.6225350736227606,0.755126342648082,0.6433338374840911,0.46083888321951405,0.5494354730674048,0.48855486563939104,0.6011868267162453,0.1682315967513188,0.5353706982626044
Dhaka,Narayanganj,0.46594447466660105,0.4799338969539127,0.497272999333736,0.501982880280785,0.37021356175354136,0.4361059449350128,0.5346560323852664,0.4965488040681945,0.5166850951929444,0.5520723138191354,0.5267430037423917,0.432145248117549,0.48631157590404145,0.4579667101632292,0.4954903874586848,0.12542664538788892,0.4779952467935514
Dhaka,Narsingdi,0.525062283823595,0.5688233797517912,0.6223901901646489,0.5835839563918044,0.48325945304590234,0.425779634050545,0.5584578233156561,0.5467557172421276,0.641754509010953,0.6785326430684074,0.6075392871078508,0.5120847554666668,0.5749584715140807,0.5024882743004592,0.5932256831779943,0.1483767759515764,0.5636265155331723
Dhaka,Netrakona,0.3779478417511922,0.5534869030750417,0.6978994773227385,0.5808177446234762,0.3161231675009619,0.17689555061071605,0.3463072974758297,0.3812372723549289,0.4841440405449149,0.6752795955719304,0.5422935593021924,0.36537645759585646,0.5525884143694149,0.30299708145253096,0.46558038308760397,0.21251100306712523,0.4701183099933361
Dhaka,Rajbari,0.4960844281954957,0.5022968288339338,0.5129161430706669,0.48789725964528163,0.5878371252635206,0.5410449916372043,0.47624728258096116,0.5401233470290282,0.5853952476551272,0.6301418904038946,0.5322061336711118,0.4409667264285868,0.49794910094465283,0.5363071229655713,0.527438806447201,0.1330608566218438,0.475387548277026
Dhaka,Shariatpur,0.5412224434889084,0.5487926726857069,0.5065604683193605,0.46199622997928586,0.4763268605867267,0.49304377209981276,0.547103733403491,0.5500442286823148,0.5196493658301686,0.565529221447284,0.5119042489361297,0.46820166087867315,0.5059548744620116,0.5146821519027713,0.4920719342608837,0.12225487195436316,0.48219040819263487
Dhaka,Sherpur,0.4000028429820493,0.49575024741831814,0.6902073823362916,0.6145389795474604,0.46081019843657817,0.3640702013571913,0.48231302696715833,0.5889881239966702,0.6185012906024487,0.7537315753849801,0.6358652813127487,0.4772343852254061,0.5501248630710266,0.47398667456005733,0.6023860877453714,0.17844628299685777,0.5376502800381585
Dhaka,Tangail,0.5286929441658378,0.49669130700837993,0.6245348024225044,0.6088414582442957,0.452417990139968,0.44275549154230737,0.5750136476799049,0.5682588590528298,0.5957294722932024,0.6920376772779318,0.5856471959708526,0.5410655263462356,0.5646120165640081,0.5096679198595088,0.5879078716598629,0.14623618943941835,0.5402386086043577
Khulna,Bagerhat,0.5677176793378561,0.5892342012438578,0.5847438610463552,0.5131828017478,0.40878321817945756,0.4700259966043259,0.5291785180783265,0.49902782287000536,0.5674778595135628,0.6362521901594403,0.626185860750036,0.5438727735606395,0.5625242043897174,0.4760203003027645,0.58533358801092,0.14113533723590424,0.5112664463774905
