Season,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,District,Year,Temp_Range,Wind_Range,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat
Kharif 1,1278.22,28.156967213114758,38.88,14.97,37,2.281475409836065,6.66,0.04,Gaibandha,2022,23.91,6.62,45.39,High Risk,1
Kharif 2,1091.34,27.750406504065044,34.86,18.48,0,1.9544715447154477,6.82,0.07,Gaibandha,2022,16.38,6.75,39.33,Low Risk,0
Rabi,82.59,19.20083333333333,29.93,8.25,0,1.225,4.57,0.07,Gaibandha,2022,21.68,4.5,4.3,Low Risk,0
Kharif 1,1043.06,28.513934426229508,40.93,15.5,46,2.537540983606557,6.3,0.09,Gazipur,2022,25.43,6.21,36.58,High Risk,1
Kharif 2,1137.55,27.810325203252034,33.68,18.24,0,1.9920325203252036,7.4,0.04,Gazipur,2022,15.44,7.36,40.9,Low Risk,0
Rabi,82.23,19.61058333333333,30.39,8.94,0,1.2454166666666666,3.9,0.06,Gazipur,2022,21.45,3.84,4.19,Low Risk,0
Kharif 1,668.3100000000001,28.977213114754097,42.19,15.6,56,2.5653278688524592,6.27,0.08,Gopalganj,2022,26.59,6.19,23.06,High Risk,1
Kharif 2,1238.15,27.71390243902439,33.63,18.56,0,2.1439024390243904,7.37,0.03,Gopalganj,2022,15.07,7.34,44.67,Low Risk,0
Rabi,149.59,19.406916666666667,30.54,7.96,0,1.3698333333333332,4.8,0.05,Gopalganj,2022,22.58,4.75,7.71,Low Risk,0
Kharif 1,2073.38,27.73745901639344,37.77,14.75,26,2.1707377049180328,6.14,0.09,Habiganj,2022,23.02,6.05,74.75,High Risk,0
Kharif 2,1599.93,27.86235772357724,34.27,17.78,0,1.6316260162601626,5.52,0.05,Habiganj,2022,16.49,5.47,57.42,Low Risk,0
Rabi,82.88,19.647166666666667,30.51,8.62,0,1.0488333333333333,4.36,0.03,Habiganj,2022,21.89,4.33,4.22,Low Risk,0
Kharif 1,1278.22,28.156967213114758,38.88,14.97,37,2.281475409836065,6.66,0.04,Jamalpur,2022,23.91,6.62,45.39,High Risk,1
Kharif 2,1091.34,27.750406504065044,34.86,18.48,0,1.9544715447154477,6.82,0.07,Jamalpur,2022,16.38,6.75,39.33,Low Risk,0
Rabi,82.59,19.20083333333333,29.93,8.25,0,1.225,4.57,0.07,Jamalpur,2022,21.68,4.5,4.3,Low Risk,0
Kharif 1,485.51,29.431475409836064,43.88,15.04,64,2.535,6.63,0.04,Jashore,2022,28.84,6.59,16.5,High Risk,1
Kharif 2,1080.92,27.73634146341464,34.2,18.34,0,2.0617073170731706,7.47,0.15,Jashore,2022,15.86,7.32,38.97,Low Risk,0
Rabi,127.01,19.33708333333333,30.76,7.52,0,1.347,4.74,0.03,Jashore,2022,23.24,4.71,6.57,Low Risk,0
Kharif 1,656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,0.04,Jhallokati,2022,25.25,5.82,22.73,High Risk,1
Kharif 2,1451.65,27.76869918699187,33.57,18.56,0,2.063739837398374,7.47,0.04,Jhallokati,2022,15.01,7.43,52.27,Low Risk,0
Rabi,220.43,19.631500000000003,30.58,8.35,0,1.4529166666666666,4.33,0.04,Jhallokati,2022,22.23,4.29,11.23,Low Risk,0
Kharif 1,558.92,29.277131147540985,43.33,15.19,58,2.47672131147541,6.36,0.08,Jhenaidah,2022,28.14,6.28,19.09,High Risk,1
Kharif 2,996.2,27.804227642276423,34.21,18.74,0,2.1582926829268296,7.83,0.11,Jhenaidah,2022,15.47,7.72,35.83,Low Risk,0
Rabi,101.19,19.232916666666664,30.32,7.6,0,1.4094166666666663,4.93,0.06,Jhenaidah,2022,22.72,4.87,5.26,Low Risk,0
Kharif 1,596.69,29.1905737704918,42.27,13.63,68,2.2068032786885245,6.02,0.07,Joypurhat,2022,28.64,5.95,20.44,High Risk,1
Kharif 2,783.3,27.9830081300813,35.83,17.28,4,2.051056910569106,7.97,0.07,Joypurhat,2022,18.55,7.9,27.99,Moderate Risk,0
Rabi,73.46000000000001,18.282833333333333,30.31,7.21,0,1.37525,6.18,0.09,Joypurhat,2022,23.1,6.09,4.02,Low Risk,0
Kharif 1,1145.52,26.892377049180325,38.65,12.79,22,0.2070491803278688,0.99,0.01,Khagrachari,2022,25.86,0.98,42.59,High Risk,1
Kharif 2,1337.03,27.635365853658534,38.46,18.2,10,0.0971544715447154,0.86,0.0,Khagrachari,2022,20.26,0.86,48.38,Moderate Risk,1
Rabi,86.44,19.02883333333333,33.14,7.85,0,0.3234166666666667,1.04,0.0,Khagrachari,2022,25.29,1.04,4.54,Low Risk,0
Kharif 1,485.51,29.431475409836064,43.88,15.04,64,2.535,6.63,0.04,Khulna,2022,28.84,6.59,16.5,High Risk,1
Kharif 2,1080.92,27.73634146341464,34.2,18.34,0,2.0617073170731706,7.47,0.15,Khulna,2022,15.86,7.32,38.97,Low Risk,0
Rabi,127.01,19.33708333333333,30.76,7.52,0,1.347,4.74,0.03,Khulna,2022,23.24,4.71,6.57,Low Risk,0
Kharif 1,1512.93,28.173934426229508,39.96,15.25,45,2.217295081967213,6.17,0.05,Kishoreganj,2022,24.71,6.12,53.7,High Risk,1
Kharif 2,1317.39,27.771138211382112,34.22,17.91,0,1.7357723577235773,6.32,0.1,Kishoreganj,2022,16.31,6.22,47.44,Low Risk,0
Rabi,79.21,19.376166666666663,30.48,8.63,0,1.1385833333333333,4.29,0.01,Kishoreganj,2022,21.85,4.28,4.09,Low Risk,0
Kharif 1,1572.26,27.49467213114754,37.59,13.55,17,2.044918032786885,6.81,0.04,Kurigram,2022,24.04,6.77,57.18,High Risk,0
Kharif 2,993.02,27.780162601626017,34.92,17.93,0,1.8404878048780489,5.77,0.08,Kurigram,2022,16.99,5.69,35.74,Low Risk,0
Rabi,82.39,18.50783333333333,29.15,7.75,0,1.2979166666666666,6.09,0.04,Kurigram,2022,21.4,6.05,4.45,Low Risk,0
Kharif 1,638.57,29.175901639344264,42.43,15.23,53,2.4836065573770494,6.75,0.12,Kushtia,2022,27.2,6.63,21.89,High Risk,1
Kharif 2,984.86,27.91,34.38,19.25,0,2.2982113821138213,8.54,0.08,Kushtia,2022,15.13,8.46,35.29,Low Risk,0
Rabi,91.4,19.20508333333333,30.12,7.92,0,1.4246666666666667,5.1,0.04,Kushtia,2022,22.2,5.06,4.76,Low Risk,0
Kharif 1,897.09,28.29688524590164,38.75,16.37,34,2.7896721311475408,6.68,0.12,Lakshmipur,2022,22.38,6.56,31.7,High Risk,1
Kharif 2,1311.38,27.853658536585368,32.95,19.15,0,2.389512195121952,7.82,0.03,Lakshmipur,2022,13.8,7.79,47.08,Low Risk,0
Rabi,130.03,19.78575,29.93,9.59,0,1.5768333333333333,4.92,0.03,Lakshmipur,2022,20.34,4.89,6.57,Low Risk,0
Kharif 1,1572.26,27.49467213114754,37.59,13.55,17,2.044918032786885,6.81,0.04,Lalmonirhat,2022,24.04,6.77,57.18,High Risk,0
Kharif 2,993.02,27.780162601626017,34.92,17.93,0,1.8404878048780489,5.77,0.08,Lalmonirhat,2022,16.99,5.69,35.74,Low Risk,0
Rabi,82.39,18.50783333333333,29.15,7.75,0,1.2979166666666666,6.09,0.04,Lalmonirhat,2022,21.4,6.05,4.45,Low Risk,0
Kharif 1,668.3100000000001,28.977213114754097,42.19,15.6,56,2.5653278688524592,6.27,0.08,Madaripur,2022,26.59,6.19,23.06,High Risk,1
Kharif 2,1238.15,27.71390243902439,33.63,18.56,0,2.1439024390243904,7.37,0.03,Madaripur,2022,15.07,7.34,44.67,Low Risk,0
Rabi,149.59,19.406916666666667,30.54,7.96,0,1.3698333333333332,4.8,0.05,Madaripur,2022,22.58,4.75,7.71,Low Risk,0
Kharif 1,558.92,29.277131147540985,43.33,15.19,58,2.47672131147541,6.36,0.08,Magura,2022,28.14,6.28,19.09,High Risk,1
Kharif 2,996.2,27.804227642276423,34.21,18.74,0,2.1582926829268296,7.83,0.11,Magura,2022,15.47,7.72,35.83,Low Risk,0
Rabi,101.19,19.232916666666664,30.32,7.6,0,1.4094166666666663,4.93,0.06,Magura,2022,22.72,4.87,5.26,Low Risk,0
Kharif 1,841.36,28.802213114754096,41.68,15.46,49,2.4510655737704914,6.49,0.11,Manikganj,2022,26.22,6.38,29.21,High Risk,1
Kharif 2,1117.67,27.83479674796748,33.61,18.75,0,2.1726016260162604,8.25,0.04,Manikganj,2022,14.86,8.21,40.15,Low Risk,0
Rabi,91.45,19.44533333333333,30.56,8.4,0,1.3493333333333333,4.2,0.07,Manikganj,2022,22.16,4.13,4.7,Low Risk,0
Kharif 1,424.36,29.86918032786885,43.6,15.07,77,2.4805737704918034,6.96,0.16,Meherpur,2022,28.53,6.8,14.21,High Risk,1
Kharif 2,762.83,28.1239837398374,36.28,18.19,9,2.270813008130081,8.43,0.04,Meherpur,2022,18.09,8.39,27.12,Moderate Risk,0
Rabi,80.82000000000001,19.0145,30.41,7.46,0,1.4605833333333331,4.88,0.07,Meherpur,2022,22.95,4.81,4.25,Low Risk,0
Kharif 1,2078.94,27.40467213114754,36.89,13.58,15,1.5492622950819672,4.69,0.09,Moulvibazar,2022,23.31,4.6,75.86,Moderate Risk,0
Kharif 2,1626.4,27.889105691056912,35.28,17.48,2,1.23,5.03,0.02,Moulvibazar,2022,17.8,5.01,58.31,Moderate Risk,0
Rabi,83.51,19.111666666666668,30.34,8.06,0,0.9328333333333332,3.7,0.01,Moulvibazar,2022,22.28,3.69,4.37,Low Risk,0
Kharif 1,896.28,28.457131147540984,40.07,15.89,41,2.7607377049180326,6.78,0.13,Munshiganj,2022,24.18,6.65,31.49,High Risk,1
Kharif 2,1147.69,27.867154471544715,33.03,18.76,0,2.1950406504065043,7.91,0.03,Munshiganj,2022,14.27,7.88,41.18,Low Risk,0
Rabi,96.21,19.6385,30.15,9.31,0,1.3990833333333337,4.12,0.08,Munshiganj,2022,20.84,4.04,4.9,Low Risk,0
Kharif 1,1997.22,27.314098360655738,37.3,15.39,15,1.9249180327868851,6.08,0.13,Mymensingh,2022,21.91,5.95,73.12,Moderate Risk,0
