ADM2_NAME,ADM1_NAME,Month,Year,Salinity_Index_Raw
Brahamanbaria,Chittagong,5,2022,817.7666593785843
Chandpur,Chittagong,5,2022,871.3450762564512
Chittagong,Chittagong,5,2022,927.4518758285276
Comilla,Chittagong,5,2022,991.2356659379769
Cox's Bazar,Chittagong,5,2022,895.6892927756328
Feni,Chittagong,5,2022,1111.2442189764233
Khagrachhari,Chittagong,5,2022,772.6503513740123
Lakshmipur,Chittagong,5,2022,987.3370045178992
Noakhali,Chittagong,5,2022,1045.3595600570195
Rangamati,Chittagong,5,2022,742.5047078376725
Dhaka,Dhaka,5,2022,1041.4716462016836
Faridpur,Dhaka,5,2022,916.5683939446728
Gazipur,Dhaka,5,2022,870.2808055170009
Gopalganj,Dhaka,5,2022,842.9638952584467
Jamalpur,Dhaka,5,2022,973.1055660002769
Kishoreganj,Dhaka,5,2022,843.2718370066378
Madaripur,Dhaka,5,2022,1028.6162360626647
Manikganj,Dhaka,5,2022,1057.0251589333054
Munshiganj,Dhaka,5,2022,961.005533428962
Mymensingh,Dhaka,5,2022,915.6601322627794
Narayanganj,Dhaka,5,2022,911.262430810294
Narsingdi,Dhaka,5,2022,776.4236952950929
Netrakona,Dhaka,5,2022,1068.3521300488087
Rajbari,Dhaka,5,2022,951.537821793122
Shariatpur,Dhaka,5,2022,1076.0137143130596
Sherpur,Dhaka,5,2022,892.7970120240557
Tangail,Dhaka,5,2022,949.4209136422584
Bagerhat,Khulna,5,2022,911.9997659240681
Chuadanga,Khulna,5,2022,942.8131129804543
Jessore,Khulna,5,2022,836.084970433381
Jhenaidah,Khulna,5,2022,812.7878151425713
Khulna,Khulna,5,2022,1029.2034441667354
Kushtia,Khulna,5,2022,1103.4751135760832
Magura,Khulna,5,2022,822.5930653424741
Meherpur,Khulna,5,2022,979.9897692941247
Narail,Khulna,5,2022,912.2187229649522
Satkhira,Khulna,5,2022,1044.1055800471427
Habiganj,Sylhet,5,2022,819.7740429463007
Maulvibazar,Sylhet,5,2022,754.1861025935968
Sunamganj,Sylhet,5,2022,1058.0116129844992
Sylhet,Sylhet,5,2022,1106.5485800541026
Bogra,Rajshahi,5,2022,1097.8445158722784
Joypurhat,Rajshahi,5,2022,911.8665512426171
Naogaon,Rajshahi,5,2022,872.745157911644
Natore,Rajshahi,5,2022,899.3976106518993
Nawabganj,Rajshahi,5,2022,950.3164272055409
Pabna,Rajshahi,5,2022,1028.5658306679118
Rajshahi,Rajshahi,5,2022,811.7505894632847
Sirajganj,Rajshahi,5,2022,1153.471455270097
Dinajpur,Rangpur,5,2022,841.3699665952468
Gaibandha,Rangpur,5,2022,1103.332396133832
Kurigram,Rangpur,5,2022,1022.0392013483395
Lalmonirhat,Rangpur,5,2022,923.8073256403225
Nilphamari,Rangpur,5,2022,872.6450094757531
Panchagarh,Rangpur,5,2022,779.279450249957
Rangpur,Rangpur,5,2022,933.8919771628115
Thakurgaon,Rangpur,5,2022,866.4269181008718
Barguna,Barisal,5,2022,1021.739323096104
Barisal,Barisal,6,2022,912.7437981537092
Bhola,Barisal,6,2022,787.2915879643487
Jhalokati,Barisal,6,2022,754.9773955070224
Patuakhali,Barisal,6,2022,804.4490699979953
Pirojpur,Barisal,6,2022,959.5455394029007
Bandarban,Chittagong,6,2022,832.5982735765175
Brahamanbaria,Chittagong,6,2022,792.0010429609783
Chandpur,Chittagong,6,2022,1176.2655761737003
Chittagong,Chittagong,6,2022,873.7211364116434
Comilla,Chittagong,6,2022,818.4237639706986
Cox's Bazar,Chittagong,6,2022,889.7881115569094
Feni,Chittagong,6,2022,1584.610546430625
Khagrachhari,Chittagong,6,2022,777.4291506629141
Lakshmipur,Chittagong,6,2022,988.5965198447557
Noakhali,Chittagong,6,2022,761.4279679057959
Rangamati,Chittagong,6,2022,860.0017311998133
Dhaka,Dhaka,6,2022,961.1128308312316
Faridpur,Dhaka,6,2022,990.9223089131515
Gazipur,Dhaka,6,2022,916.1376760627661
Gopalganj,Dhaka,6,2022,822.5337258744803
Jamalpur,Dhaka,6,2022,1264.0405162273125
Kishoreganj,Dhaka,6,2022,1105.5040701900298
Madaripur,Dhaka,6,2022,1033.1242467879174
Manikganj,Dhaka,6,2022,1159.1803173330438
Munshiganj,Dhaka,6,2022,930.4425699560006
Mymensingh,Dhaka,6,2022,967.3705565645092
Narayanganj,Dhaka,6,2022,857.2617786647975
Narsingdi,Dhaka,6,2022,850.9991670990396
Netrakona,Dhaka,6,2022,1440.4895001352838
Rajbari,Dhaka,6,2022,866.7552093318566
Shariatpur,Dhaka,6,2022,978.7139503396907
Sherpur,Dhaka,6,2022,846.4626604364314
Tangail,Dhaka,6,2022,992.9664392383173
Bagerhat,Khulna,6,2022,947.6324758003532
Chuadanga,Khulna,6,2022,580.7942803987017
Jessore,Khulna,6,2022,1113.564701934774
Jhenaidah,Khulna,6,2022,664.9162325319744
Khulna,Khulna,6,2022,1013.4819074289684
Kushtia,Khulna,6,2022,675.7572449626998
Magura,Khulna,6,2022,1023.0371910617764
Meherpur,Khulna,6,2022,625.708937681653
Narail,Khulna,6,2022,1006.3209519904572
Satkhira,Khulna,6,2022,1053.002087411372
Habiganj,Sylhet,6,2022,929.2645402684436
Maulvibazar,Sylhet,6,2022,774.652584870354
Sunamganj,Sylhet,6,2022,1343.4424826091208
Sylhet,Sylhet,6,2022,1186.0528498392832
Bogra,Rajshahi,6,2022,1341.058794859957
Joypurhat,Rajshahi,6,2022,1408.79448959665
Naogaon,Rajshahi,6,2022,1533.6471690077162
Natore,Rajshahi,6,2022,1082.0969918393653
Nawabganj,Rajshahi,6,2022,1194.7834156013548
Pabna,Rajshahi,6,2022,861.6747126167106
Rajshahi,Rajshahi,6,2022,1188.4610466201325
Sirajganj,Rajshahi,6,2022,1149.1196017206391
Dinajpur,Rangpur,6,2022,1008.248854806924
Gaibandha,Rangpur,6,2022,1579.857137906953
Kurigram,Rangpur,6,2022,997.9399744313355
Lalmonirhat,Rangpur,6,2022,875.3753827523118
Nilphamari,Rangpur,6,2022,961.2856575821534
Panchagarh,Rangpur,6,2022,767.607624311484
Rangpur,Rangpur,6,2022,1385.3502638944904
Thakurgaon,Rangpur,6,2022,952.517491460449
Barguna,Barisal,6,2022,959.7106319479914
Barisal,Barisal,7,2022,774.6395415961299
Bhola,Barisal,7,2022,838.9216864666465
Jhalokati,Barisal,7,2022,611.7424777502564
Patuakhali,Barisal,7,2022,887.338042937303
Pirojpur,Barisal,7,2022,630.9992782519761
Bandarban,Chittagong,7,2022,488.2417506741681
Brahamanbaria,Chittagong,7,2022,666.2368117369389
Chandpur,Chittagong,7,2022,709.4217400481455
Chittagong,Chittagong,7,2022,597.8657233247866
Comilla,Chittagong,7,2022,584.305716776206
Cox's Bazar,Chittagong,7,2022,689.9418481360481
Feni,Chittagong,7,2022,633.6963478861571
Khagrachhari,Chittagong,7,2022,522.311515903633
Lakshmipur,Chittagong,7,2022,793.9372000253818
Noakhali,Chittagong,7,2022,675.1295620601601
Rangamati,Chittagong,7,2022,509.0353459347119
Dhaka,Dhaka,7,2022,954.1523431130846
Faridpur,Dhaka,7,2022,874.4851524271685
Gazipur,Dhaka,7,2022,725.1917026292649
Gopalganj,Dhaka,7,2022,757.9746334799289
Jamalpur,Dhaka,7,2022,839.3300338119249
Kishoreganj,Dhaka,7,2022,908.1643655569061
Madaripur,Dhaka,7,2022,894.0634685344746
Manikganj,Dhaka,7,2022,917.810096483888
Munshiganj,Dhaka,7,2022,746.8750168627973
Mymensingh,Dhaka,7,2022,832.87473175644
Narayanganj,Dhaka,7,2022,836.1206609454985
Narsingdi,Dhaka,7,2022,639.0317458342173
Netrakona,Dhaka,7,2022,894.8726639051409
Rajbari,Dhaka,7,2022,899.2550125545991
Shariatpur,Dhaka,7,2022,774.7843559200232
Sherpur,Dhaka,7,2022,817.8679684225252
Tangail,Dhaka,7,2022,866.60211621271
Bagerhat,Khulna,7,2022,548.7053245316918
Chuadanga,Khulna,7,2022,807.7236886343338
Jessore,Khulna,7,2022,936.2511431766746
Jhenaidah,Khulna,7,2022,901.5371921242978
Khulna,Khulna,7,2022,844.5130250646598
Kushtia,Khulna,7,2022,920.6979705258524
Magura,Khulna,7,2022,800.7823972180772
Meherpur,Khulna,7,2022,873.598318922567
Narail,Khulna,7,2022,840.2703176639188
Satkhira,Khulna,7,2022,851.6071133893432
Habiganj,Sylhet,7,2022,658.5739253072086
Maulvibazar,Sylhet,7,2022,618.0989475981003
Sunamganj,Sylhet,7,2022,952.6580842395869
Sylhet,Sylhet,7,2022,941.3982895476352
Bogra,Rajshahi,7,2022,881.1956255750439
Joypurhat,Rajshahi,7,2022,998.3787710575165
Naogaon,Rajshahi,7,2022,829.2090208616318
Natore,Rajshahi,7,2022,693.2779966083275
Nawabganj,Rajshahi,7,2022,784.5801696225919
Pabna,Rajshahi,7,2022,887.5469831694794
Rajshahi,Rajshahi,7,2022,818.4954004122302
Sirajganj,Rajshahi,7,2022,1018.7627152470798
Dinajpur,Rangpur,7,2022,906.548179071942
Gaibandha,Rangpur,7,2022,936.0415193834418
Kurigram,Rangpur,7,2022,1011.8679441832912
Lalmonirhat,Rangpur,7,2022,829.575516484814
Nilphamari,Rangpur,7,2022,738.7811962547815
Panchagarh,Rangpur,7,2022,561.8896797281163
Rangpur,Rangpur,7,2022,851.3656214684796
Thakurgaon,Rangpur,7,2022,876.1201324473981
Barguna,Barisal,7,2022,800.4163114346136
Barisal,Barisal,8,2022,929.5604481400512
Bhola,Barisal,8,2022,1112.0011446570509
Jhalokati,Barisal,8,2022,627.2093806653588
Patuakhali,Barisal,8,2022,864.1355192295576
Pirojpur,Barisal,8,2022,633.5830977971257
