Area,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Max Temp,Min Temp,Min Relative Humidity,Max Relative Humidity,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm,NDVI_Season_Mean,NDVI_Season_Max,NDVI_Season_Min,NDVI_Season_Std,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,Latitude,Longitude,CN_Ratio,pH_Suitability,Dominant_Soil_Texture,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,Temp_Range,Wind_Range,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat
191,1.5083334186281598,1.2189924547979805,27.5,72.5,1.2632551426886305,0.8839035603592973,1.292032246339086,1.4417184946776644,35,20.0,60,85,0.32,1.13,4.53,302.32,-7492.92,0.35,0.48,0.21,0.12,0.28,0.34,874.99,5.64,15.62,1.6,35.04,30.21,34.77,1.3,23.62,90.5,9.76,1,1,0.28,0.31,0.03,1.15,1,1147.69,27.87,33.03,18.76,0,2.2,7.91,0.03,14.27,7.88,41.18,0,0
445,1.1904122272269628,1.6116784597441045,23.0,80.0,1.11414049713533,1.7523340285787994,1.150849062005901,1.2567762124029556,28,18.0,70,90,0.35,1.05,3.68,303.58,20.56,0.31,0.48,0.16,0.15,0.32,0.47,882.81,5.85,20.19,1.81,30.97,32.95,36.08,1.3,23.77,90.36,11.15,1,1,0.28,0.29,0.01,1.04,1,1043.06,28.51,40.93,15.5,46,2.54,6.3,0.09,25.43,6.21,36.58,2,1
62,1.668445231360152,1.2189924547979805,23.5,61.0,1.6219247880810246,1.4768972278502244,1.2470237675920657,1.6219247880810246,32,15.0,52,70,0.36,1.32,4.75,301.84,-7492.95,0.39,0.56,0.22,0.15,0.35,0.39,755.92,6.11,18.59,1.58,36.24,17.79,45.99,1.29,24.63,89.04,11.76,1,1,0.24,0.27,0.03,1.13,1,772.89,28.15,36.56,17.79,8,2.22,8.45,0.03,18.77,8.42,27.46,1,0
187,1.2181442100105444,1.6116784597441045,25.0,72.5,1.1120259413151894,1.7523340285787994,1.1120259413151894,1.1120259413151894,30,20.0,60,85,0.3,0.89,3.15,302.53,22.82,0.27,0.41,0.14,0.12,0.27,0.47,847.77,5.71,24.92,3.45,32.93,35.66,31.44,1.29,25.92,89.45,7.22,1,1,0.3,0.27,-0.03,0.9,1,1572.26,27.49,37.59,13.55,17,2.04,6.81,0.04,24.04,6.77,57.18,2,0
325,0.9038366892666913,1.2189924547979805,22.5,75.0,0.3702762328366751,1.079758296469405,1.0754915249177393,0.4024133239917167,30,15.0,65,85,0.59,4.07,7.52,300.74,-7492.91,0.6,0.76,0.39,0.19,0.38,0.32,481.86,5.51,20.44,2.2,29.3,36.52,34.18,1.22,21.79,92.41,9.29,1,1,0.21,0.26,0.05,1.33,1,1354.97,26.05,32.68,17.05,0,0.07,0.51,0.0,15.63,0.51,52.01,0,0
129,1.4668715418678846,1.6116784597441045,20.0,80.0,1.1875576268764718,1.7523340285787994,1.150849062005901,1.1875576268764718,30,10.0,75,85,0.41,1.12,4.07,301.29,14.02,0.37,0.5,0.31,0.09,0.19,0.24,924.63,5.92,22.91,1.96,30.11,20.69,49.19,1.28,23.49,89.42,11.68,1,1,0.24,0.28,0.03,1.19,1,558.92,29.28,43.33,15.19,58,2.48,6.36,0.08,28.14,6.28,19.09,2,1
771,1.1483034696806422,1.6116784597441045,23.0,80.0,1.11414049713533,1.7523340285787994,1.150849062005901,1.2567762124029556,28,18.0,70,90,0.48,2.69,5.57,301.97,17.29,0.37,0.61,0.22,0.17,0.39,0.47,844.83,5.7,24.39,2.13,32.36,27.91,39.73,1.25,22.65,92.18,11.45,1,1,0.3,0.32,0.02,1.08,1,1205.62,27.63,36.72,15.16,4,2.86,6.45,0.12,21.56,6.33,43.63,1,0
447,1.18633535210387,1.6116784597441045,26.0,72.5,0.6782082928280382,1.196807608531181,0.6782082928280382,0.6782082928280382,40,12.0,60,85,0.33,1.14,3.81,302.42,14.84,0.28,0.38,0.13,0.11,0.26,0.39,1017.3,5.44,20.42,2.42,35.02,29.59,35.41,1.25,23.55,90.53,8.43,0,1,0.24,0.26,0.02,1.18,1,896.28,28.46,40.07,15.89,41,2.76,6.78,0.13,24.18,6.65,31.49,2,1
375,1.4470782434604412,1.2189924547979805,26.5,75.0,1.4327821283842652,1.4768972278502244,1.0048360915091592,1.4327821283842652,35,18.0,60,90,0.37,1.62,5.31,301.56,-7492.92,0.4,0.58,0.22,0.15,0.36,0.37,736.85,5.47,21.69,1.54,35.94,30.81,33.25,1.25,23.92,90.72,14.08,0,1,0.26,0.29,0.03,1.19,1,1137.55,27.81,33.68,18.24,0,1.99,7.4,0.04,15.44,7.36,40.9,0,0
14272,1.2590149214822506,1.1991979446711325,22.5,60.0,0.9432757710778288,1.079758296469405,1.0048360915091592,0.9127464380043896,30,15.0,50,70,0.3,1.01,4.52,298.03,-2494.87,0.41,0.53,0.32,0.09,0.21,0.21,877.94,5.78,23.76,1.89,29.99,31.6,38.41,1.28,24.93,89.94,12.56,1,1,0.18,0.21,0.04,1.27,0,82.59,19.2,29.93,8.25,0,1.23,4.57,0.07,21.68,4.5,4.3,0,0
600,0.8978116119211376,1.6116784597441045,34.5,82.5,3.337377080920379,1.7523340285787994,1.9142147196871888,2.569017825401684,47,22.0,70,95,0.34,1.01,3.79,302.14,18.15,0.29,0.33,0.21,0.06,0.12,0.2,1012.6,5.71,25.17,2.47,29.17,25.11,45.74,1.27,22.13,90.12,10.19,1,1,0.29,0.34,0.04,1.19,1,875.14,28.5,35.98,18.28,5,2.73,5.38,0.06,17.7,5.32,30.71,1,0
213,1.5546106889696356,1.6116784597441045,34.5,82.5,3.337377080920379,1.7523340285787994,1.9142147196871888,2.569017825401684,47,22.0,70,95,0.31,0.87,3.27,303.4,16.5,0.24,0.27,0.21,0.03,0.07,0.12,1029.22,5.49,13.48,1.2,40.33,25.96,33.7,1.32,23.76,90.39,11.22,0,0,0.27,0.29,0.02,1.15,1,1043.06,28.51,40.93,15.5,46,2.54,6.3,0.09,25.43,6.21,36.58,2,1
