District,month,year,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat
Barguna,4,2022,0.1897558669887595,0.2628820802071546,0.0731,1.3781,Optimal
Barishal,5,2022,0.2502665610039102,0.2723541402480255,0.0221,1.0839,Optimal
Bhola,5,2022,0.2351307150141225,0.2461453327740043,0.011,1.0424,Moderate
Jhallokati,5,2022,0.1998801740814434,0.2174571185110595,0.0176,1.0825,Moderate
Patuakhali,5,2022,0.2580422075352634,0.2858901278006436,0.0278,1.1036,Optimal
Pirojpur,5,2022,0.2108139630761269,0.2249196499203493,0.0141,1.0619,Moderate
Bandarban,5,2022,0.2505502239309726,0.2444998171906017,-0.0061,0.972,Moderate
Brahmanbaria,5,2022,0.2655686480509162,0.2618319820570546,-0.0037,0.9822,Optimal
Chandpur,5,2022,0.2538231383324885,0.24864070724924,-0.0052,0.9757,Moderate
Chattogram,5,2022,0.2794085938106965,0.2715046059942207,-0.0079,0.9682,Optimal
Cumilla,5,2022,0.2455003394311604,0.2407718197083011,-0.0047,0.9768,Moderate
CoxsBazar,5,2022,0.2284360686532901,0.2172502187626858,-0.0112,0.9469,Moderate
Feni,5,2022,0.2451283948608368,0.2471635679241811,0.002,1.0042,Moderate
Khagrachari,5,2022,0.2881332487665368,0.2884017660097427,0.0003,0.9975,Optimal
Lakshmipur,5,2022,0.2222273646615763,0.2143465192511187,-0.0079,0.9602,Moderate
Noakhali,5,2022,0.2430937478737508,0.2392920299798559,-0.0038,0.9803,Moderate
Rangamati,5,2022,0.2763437454800705,0.2735080178369835,-0.0028,0.9862,Optimal
Dhaka,5,2022,0.2960190048673916,0.3058919771991017,0.0099,1.0299,Optimal
Faridpur,5,2022,0.311715757269726,0.3593745212370359,0.0477,1.1492,Optimal
Gazipur,5,2022,0.3271335675644577,0.3297490494203953,0.0026,1.0049,Optimal
Gopalganj,5,2022,0.347269346894323,0.5052714600565177,0.158,1.4508,Optimal
Jamalpur,5,2022,0.2436334105658012,0.2391454380259559,-0.0045,0.9776,Moderate
Kishoreganj,5,2022,0.2693194804051685,0.2650408694054226,-0.0043,0.9805,Optimal
Madaripur,5,2022,0.2783455616145424,0.3110474833033302,0.0327,1.1135,Optimal
Manikganj,5,2022,0.261972815247241,0.2674740452759014,0.0055,1.0171,Optimal
Munshiganj,5,2022,0.2706069504111814,0.2686775081318052,-0.0019,0.9892,Optimal
Mymensingh,5,2022,0.269705618725855,0.2657705567961258,-0.0039,0.9818,Optimal
Narayanganj,5,2022,0.2909985827826143,0.2919410453663386,0.0009,0.9998,Optimal
Narsingdi,5,2022,0.2847156814620777,0.2842301177223244,-0.0005,0.9948,Optimal
Netrokona,5,2022,0.3056732661406003,0.2897669945199637,-0.0159,0.9449,Optimal
Rajbari,5,2022,0.2664017009098179,0.2891699805624244,0.0228,1.0814,Optimal
Shariatpur,5,2022,0.2882607857524725,0.302598433248465,0.0143,1.0461,Optimal
Sherpur,5,2022,0.2514942495340383,0.2498164574613527,-0.0017,0.9894,Moderate
Tangail,5,2022,0.274832066278294,0.2672969104138157,-0.0075,0.9691,Optimal
Bagerhat,5,2022,0.2765837588877723,0.3212452706761253,0.0447,1.1573,Optimal
Chuadanga,5,2022,0.2379261653241323,0.2543953688457642,0.0165,1.0647,Optimal
Jashore,5,2022,0.2744196193686764,0.2983856841995587,0.024,1.0834,Optimal
Jhenaidah,5,2022,0.2697712269916582,0.2771089336326365,0.0073,1.0234,Optimal
Khulna,5,2022,0.2819289698595459,0.3428107844197057,0.0609,1.2116,Optimal
Kushtia,5,2022,0.212890902009759,0.2389052569873927,0.026,1.1169,Moderate
Magura,5,2022,0.2966420791592594,0.304844662954517,0.0082,1.0242,Optimal
Meherpur,5,2022,0.2270486251096571,0.2494001067742224,0.0224,1.0936,Moderate
Narail,5,2022,0.3243174072966844,0.4136761434313574,0.0894,1.2716,Optimal
Satkhira,5,2022,0.2714652237442839,0.3126665793979106,0.0412,1.1475,Optimal
Habiganj,5,2022,0.2634093592757303,0.2554981958958184,-0.0079,0.9663,Optimal
Moulvibazar,5,2022,0.2774335738052931,0.2895877573511043,0.0122,1.0401,Optimal
Sunamganj,5,2022,0.3422713167868925,0.3227372479973498,-0.0195,0.9402,Optimal
Sylhet,5,2022,0.3793693020408296,0.3773110762953319,-0.0021,0.992,Optimal
Bogura,5,2022,0.2241101810949857,0.2320531852873005,0.0079,1.0308,Moderate
