ADM2_NAME,ADM2_CODE,Month,Year,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm
Jamalpur,5782,5,2022,0.2771274375268593,0.9550007441141957,3.5694609828515835,301.5887145896348,22.827411281028066
Kishoreganj,5783,5,2022,0.14553018882675722,0.7348288856356046,2.781014053672128,302.3036714821663,22.01076068825994
Madaripur,5784,5,2022,0.4082183761097044,1.3724861905323469,4.651710635162346,302.3087140922977,8.56594015455722
Manikganj,5785,5,2022,0.3347167033713938,1.1005192345739705,3.863941337771887,302.6846765482499,13.36592131646522
Munshiganj,5786,5,2022,0.3169289080833228,1.2245268595318903,3.9924584158149754,302.8932343596749,10.281059839218814
Mymensingh,5787,5,2022,0.25558965178072107,0.8050717864345827,3.118377685455161,302.951323477547,22.343727312887072
Narayanganj,5788,5,2022,0.24874476043194754,0.8003331185388356,3.0736172494067806,304.2506283027877,13.34547041733238
Narsingdi,5789,5,2022,0.2916034756497901,1.1297701834656688,3.723064475729577,303.82969943256006,18.342063207968874
Netrakona,5790,5,2022,0.16900025758350445,0.7241868182553609,2.7038456473759167,302.4174056894395,23.920988799721762
Rajbari,5791,5,2022,0.47096235436300943,1.3224017113090731,4.394229845792899,301.4651795552107,13.645980038910938
Shariatpur,5792,5,2022,0.3460610223697359,1.4292365363514141,4.541247035608106,302.3980372572199,8.610986546288208
Sherpur,5793,5,2022,0.28746563761387256,0.9989272981486885,3.5777497329514176,302.0756263779601,23.047129694586317
Tangail,5794,5,2022,0.3057699875827978,1.0134055485498146,3.7646908830646604,303.1724691429735,19.26717591148036
Bagerhat,5795,5,2022,0.2685377767198132,1.7054603076733306,4.011655963868428,303.40677977787965,9.515228557438816
Chuadanga,5796,5,2022,0.3640033941507158,0.8770642768407189,3.555905842631986,304.67249558679737,11.420219950115197
Jessore,5797,5,2022,0.31286507318974593,0.9428241316560192,3.6434101884734535,304.1827346558707,8.630096780731652
Jhenaidah,5798,5,2022,0.36537975515655347,0.965855634170208,3.709403801082099,303.934305240907,11.66506269534078
Khulna,5799,5,2022,0.24058417300039087,1.4572275104038785,3.583356122404659,303.7232433515034,9.079782288717952
Kushtia,5800,5,2022,0.42616794245929235,1.1077841885679902,4.101925817752279,302.81623260433116,14.236738698324608
Magura,5801,5,2022,0.4542348431227002,1.311025393146464,4.456374279055192,302.7202994136777,11.600624217113145
Meherpur,5802,5,2022,0.42310201593155317,1.1134747671741412,4.216794509758588,303.6085732834476,12.785309216499545
Narail,5803,5,2022,0.33873605401270906,0.886429346479893,3.5319859818698767,304.5894436092795,7.703765626997806
Satkhira,5804,5,2022,0.22498705788322765,1.5696460214542747,3.702764480664962,303.1290007425656,7.776022526109815
Habiganj,5821,5,2022,0.22222403580570332,1.0416130861190274,3.2254641105422004,304.60020464452856,22.415080106710022
Maulvibazar,5822,5,2022,0.31518462744919323,1.5499794309943655,4.080761173538856,304.0908449729738,24.013194473272357
Sunamganj,5823,5,2022,0.06286765323973405,0.7492312323175845,2.1134068076191395,301.3224320733453,24.196778603364415
Sylhet,5824,5,2022,0.13423441527632407,0.7191636607184415,2.3527113723527227,303.102287022497,24.38651344764788
Bogra,5805,5,2022,0.2815787501883591,1.0734866076547296,3.8844957242465026,302.39952190754786,22.09388276653726
Joypurhat,5808,5,2022,0.35539760732430875,1.4004590076785155,4.688395073006939,303.08563650823083,21.94117544719783
Naogaon,5811,5,2022,0.30117649149972214,1.0178367353997761,3.9676229686748257,303.3684099543962,19.217044266810344
Natore,5812,5,2022,0.39766077624128837,1.1182047375972055,4.0551072830838155,302.23124753502606,17.732354730592714
Nawabganj,5813,5,2022,0.33882971730844114,1.1521542028016998,4.44873728633315,303.5315333257257,13.704544350074038
Pabna,5815,5,2022,0.41456078937289154,1.1580112863541088,4.196555810859115,301.5019829352622,15.997834552387665
Rajshahi,5817,5,2022,0.367112668609153,1.1837578702543574,4.42187608656497,302.752845105125,14.93881926303693
Sirajganj,5819,5,2022,0.2608568674508461,0.8455047633792676,3.3021865820302434,301.422766469486,19.55718583525252
Dinajpur,5806,5,2022,0.32485944056266386,1.2426890044451417,4.399741725876409,301.68107861554364,21.85528711631659
Gaibandha,5807,5,2022,0.2786990024053556,0.9433184909108866,3.577533854609959,301.75318595436045,22.83130165088589
Kurigram,5809,5,2022,0.2521822792948488,0.9473049993595998,3.5146151468687497,301.16661509536505,22.351154725356828
