B,BLOCK,Cu,Cycle_Year,DISTRICT,DISTRICT_L,EC,Fe,Feature_ID,K,Mn,N,OC,P,S,STATE,STATE_LGD,Scan_Lat,Scan_Lon,TEHSIL,VILLAGE,Zn,pH
0.446,Badami,0.506,2015-17,Bagalkot,524,0.157,2.158,29_524_shc_2015-17.274,460.823,9.879,471.84,0.368,40.939,22.715,Karnataka,29,15.98600000000006,75.66199999999841,Badami,Hiremuchalagudda,0.55,6.406
0.382,Hungund,0.539,2015-17,Bagalkot,524,0.22,1.033,29_524_shc_2015-17.399,329.394,2.29,735.863,1.135,28.724,14.253,Karnataka,29,15.98600000000006,75.91399999999783,Hungund,Kelur,0.443,8.122
0.471,Hungund,0.658,2015-17,Bagalkot,524,0.177,6.296,29_524_shc_2015-17.531,332.957,2.429,318.461,0.556,52.263,16.444,Karnataka,29,15.992000000000061,76.23599999999708,Hungund,Krishnapur,0.15,7.844
0.408,Hungund,0.722,2015-17,Bagalkot,524,0.288,0.675,29_524_shc_2015-17.508,383.344,2.25,350.054,0.481,24.438,8.467,Karnataka,29,15.992000000000061,76.1819999999972,Hungund,Chicksinganagutti,0.408,8.138
0.254,Hungund,0.612,2015-17,Bagalkot,524,0.357,0.404,29_524_shc_2015-17.493,670.3,2.852,435.479,0.701,33.739,13.259,Karnataka,29,15.994000000000062,76.14999999999728,Hungund,Gopsani,0.377,8.351
0.394,Hungund,0.757,2015-17,Bagalkot,524,0.456,2.378,29_524_shc_2015-17.413,376.315,1.482,359.754,0.429,34.431,13.765,Karnataka,29,15.998000000000063,75.94999999999774,Hungund,Tallikeri,0.396,7.816
0.504,Hungund,0.674,2015-17,Bagalkot,524,0.506,0.675,29_524_shc_2015-17.476,353.887,5.029,575.325,0.439,31.532,14.215,Karnataka,29,15.998000000000063,76.11599999999736,Hungund,Herur,0.496,8.126
0.609,Badami,0.581,2015-17,Bagalkot,524,0.676,2.062,29_524_shc_2015-17.353,542.126,5.742,354.395,8.338,54.612,16.586,Karnataka,29,16.000000000000064,75.83199999999802,Badami,Kataginahalli,0.627,
0.456,Badami,0.412,2015-17,Bagalkot,524,0.714,1.024,29_524_shc_2015-17.376,255.868,3.683,304.935,0.5,37.318,16.748,Karnataka,29,16.00400000000006,75.86999999999793,Badami,Subbalahunashi,0.458,7.658
2.106,Hungund,0.454,2015-17,Bagalkot,524,0.202,0.392,29_524_shc_2015-17.496,363.13,1.047,262.748,0.455,41.289,8.329,Karnataka,29,16.01000000000006,76.15399999999727,Hungund,Tumba,0.157,8.461
