OBJECTID,STATE_LGD,DISTRICT,STATE_UT,Shape_Leng,Shape_Area,Dist_LGD,REMARKS,Lat,Lon
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.66999999999985
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.67499999999984
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.67999999999984
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.68499999999983
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.68999999999983
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.69499999999982
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.69999999999982
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.70499999999981
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.70999999999981
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.7149999999998
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.7199999999998
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.7249999999998
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.72999999999979
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.73499999999979
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.73999999999978
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.74499999999978
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.154999999999998,75.74999999999977
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.159999999999997,75.5
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.159999999999997,75.505
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.159999999999997,75.50999999999999
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.159999999999997,75.51499999999999
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.159999999999997,75.51999999999998
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.159999999999997,75.52499999999998
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.159999999999997,75.52999999999997
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.159999999999997,75.53499999999997
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.159999999999997,75.53999999999996
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.159999999999997,75.54499999999996
297,29,B<galkot,Karn<taka,663809.400829,6.42467429774E9,0556,,16.159999999999997,75.54999999999995
