FPAR,Avg_Salinity_Index,EVI,Rain_Temp_Ratio,Rainfall,Wind_Mean,Temp_Min,Wind_Max,Temp_Max,District,Clay,LAI,Nitrogen,Soil_Moisture_mm,pH,LST_Kelvin,Dominant_Soil_Texture,AP Ratio,Temp_Mean,Avg Humidity,Heat_Stress_Days,Silt,Growth,CN_Ratio,Crop Name,Organic_Carbon,Transplant,Season,NDVI_Season_Mean
4.169441903407631,883.0219275597883,0.3081769511973575,22.73,656.33,2.48188524590164,16.01,5.86,41.26,Bagerhat,28.25,1.8112869864403789,3.89,14.77098688500372,5.73,301.5819733879906,Loamy (Thịt/Phù sa),17.27710843,28.878196721311475,70.0,54,49.52,June to August,8.73,Green Papaya,33.97,June,Kharif 1,0.2671469327157075
4.169441903407631,883.0219275597883,0.3081769511973575,22.73,656.33,2.48188524590164,16.01,5.86,41.26,Bagerhat,28.25,1.8112869864403789,3.89,14.77098688500372,5.73,301.5819733879906,Loamy (Thịt/Phù sa),6.700598802,28.878196721311475,70.0,54,49.52,June to August,8.73,Amra,33.97,June,Kharif 1,0.2671469327157075
4.169441903407631,883.0219275597883,0.3081769511973575,22.73,656.33,2.48188524590164,16.01,5.86,41.26,Bagerhat,28.25,1.8112869864403789,3.89,14.77098688500372,5.73,301.5819733879906,Loamy (Thịt/Phù sa),#DIV/0!,28.878196721311475,85.0,54,49.52,June to August,8.73,Malta,33.97,June,Kharif 1,0.2671469327157075
4.169441903407631,883.0219275597883,0.3081769511973575,22.73,656.33,2.48188524590164,16.01,5.86,41.26,Bagerhat,28.25,1.8112869864403789,3.89,14.77098688500372,5.73,301.5819733879906,Loamy (Thịt/Phù sa),1,28.878196721311475,70.0,54,49.52,June to August,8.73,Wood Apple,33.97,May,Kharif 1,0.2671469327157075
4.169441903407631,883.0219275597883,0.3081769511973575,22.73,656.33,2.48188524590164,16.01,5.86,41.26,Bagerhat,28.25,1.8112869864403789,3.89,14.77098688500372,5.73,301.5819733879906,Loamy (Thịt/Phù sa),28.86097319,28.878196721311475,70.0,54,49.52,June to August,8.73,Green Coconut,33.97,May,Kharif 1,0.2671469327157075
5.780086386688027,517.8162711223541,0.3431915358837492,52.27,1451.65,2.063739837398374,18.56,7.47,33.57,Bagerhat,28.25,2.788745853500626,3.89,25.24011305318693,5.73,300.15712075135025,Loamy (Thịt/Phù sa),1.942857143,27.76869918699187,61.0,0,49.52,Oct to Dec,8.73,Oal Kachu,33.97,Sep,Kharif 2,0.507816116388428
5.780086386688027,517.8162711223541,0.3431915358837492,52.27,1451.65,2.063739837398374,18.56,7.47,33.57,Bagerhat,28.25,2.788745853500626,3.89,25.24011305318693,5.73,300.15712075135025,Loamy (Thịt/Phù sa),1.192560175,27.76869918699187,72.5,0,49.52,Oct to Dec,8.73,Barbati,33.97,Sep,Kharif 2,0.507816116388428
5.780086386688027,517.8162711223541,0.3431915358837492,52.27,1451.65,2.063739837398374,18.56,7.47,33.57,Bagerhat,28.25,2.788745853500626,3.89,25.24011305318693,5.73,300.15712075135025,Loamy (Thịt/Phù sa),2.851851852,27.76869918699187,70.0,0,49.52,Sep to Jan,8.73,Puishak,33.97,Aug,Kharif 2,0.507816116388428
5.780086386688027,517.8162711223541,0.3431915358837492,52.27,1451.65,2.063739837398374,18.56,7.47,33.57,Bagerhat,28.25,2.788745853500626,3.89,25.24011305318693,5.73,300.15712075135025,Loamy (Thịt/Phù sa),3.024549918,27.76869918699187,70.0,0,49.52,Sep to Jan,8.73,Palong Shak,33.97,Aug,Kharif 2,0.507816116388428
6.3149949671671255,560.4940229941045,0.3116314170521451,11.23,220.43,1.4529166666666666,8.35,4.33,30.58,Bagerhat,28.25,2.968781250963403,3.89,12.078042549735049,5.73,297.294524997996,Loamy (Thịt/Phù sa),0.2830188679,19.631500000000003,45.0,0,49.52,Dec to Jan,8.73,Sesame,33.97,Nov,Rabi,0.5118091536297626
5.780086386688027,517.8162711223541,0.3431915358837492,52.27,1451.65,2.063739837398374,18.56,7.47,33.57,Bagerhat,28.25,2.788745853500626,3.89,25.24011305318693,5.73,300.15712075135025,Loamy (Thịt/Phù sa),1.355704698,27.76869918699187,67.5,0,49.52,Nov to Jan,8.73,Garlic,33.97,Oct,Kharif 2,0.507816116388428
5.780086386688027,517.8162711223541,0.3431915358837492,52.27,1451.65,2.063739837398374,18.56,7.47,33.57,Bagerhat,28.25,2.788745853500626,3.89,25.24011305318693,5.73,300.15712075135025,Loamy (Thịt/Phù sa),5.34893617,27.76869918699187,77.5,0,49.52,Nov to Jan,8.73,Cauliflower,33.97,Sep,Kharif 2,0.507816116388428
5.780086386688027,517.8162711223541,0.3431915358837492,52.27,1451.65,2.063739837398374,18.56,7.47,33.57,Bagerhat,28.25,2.788745853500626,3.89,25.24011305318693,5.73,300.15712075135025,Loamy (Thịt/Phù sa),6.221642764,27.76869918699187,75.0,0,49.52,Oct to Jan,8.73,Cabbage,33.97,Sep,Kharif 2,0.507816116388428
6.3149949671671255,560.4940229941045,0.3116314170521451,11.23,220.43,1.4529166666666666,8.35,4.33,30.58,Bagerhat,28.25,2.968781250963403,3.89,12.078042549735049,5.73,297.294524997996,Loamy (Thịt/Phù sa),#DIV/0!,19.631500000000003,62.5,0,49.52,Dec to Feb,8.73,Cheena,33.97,Nov,Rabi,0.5118091536297626
5.780086386688027,517.8162711223541,0.3431915358837492,52.27,1451.65,2.063739837398374,18.56,7.47,33.57,Bagerhat,28.25,2.788745853500626,3.89,25.24011305318693,5.73,300.15712075135025,Loamy (Thịt/Phù sa),#DIV/0!,27.76869918699187,67.5,0,49.52,Nov to Feb,8.73,Tobacco,33.97,Oct,Kharif 2,0.507816116388428
5.780086386688027,517.8162711223541,0.3431915358837492,52.27,1451.65,2.063739837398374,18.56,7.47,33.57,Bagerhat,28.25,2.788745853500626,3.89,25.24011305318693,5.73,300.15712075135025,Loamy (Thịt/Phù sa),0.2546075085,27.76869918699187,75.0,0,49.52,Nov to Feb,8.73,Rape & Mustard,33.97,Oct,Kharif 2,0.507816116388428
4.169441903407631,883.0219275597883,0.3081769511973575,22.73,656.33,2.48188524590164,16.01,5.86,41.26,Bagerhat,28.25,1.8112869864403789,3.89,14.77098688500372,5.73,301.5819733879906,Loamy (Thịt/Phù sa),1.075362319,28.878196721311475,72.5,54,49.52,No need to do,8.73,Date Palm,33.97,April,Kharif 1,0.2671469327157075
5.780086386688027,517.8162711223541,0.3431915358837492,52.27,1451.65,2.063739837398374,18.56,7.47,33.57,Bagerhat,28.25,2.788745853500626,3.89,25.24011305318693,5.73,300.15712075135025,Loamy (Thịt/Phù sa),0.3388543823,27.76869918699187,90.0,0,49.52,Nov  to  Feb,8.73,Lentil,33.97,Oct,Kharif 2,0.507816116388428
6.3149949671671255,560.4940229941045,0.3116314170521451,11.23,220.43,1.4529166666666666,8.35,4.33,30.58,Bagerhat,28.25,2.968781250963403,3.89,12.078042549735049,5.73,297.294524997996,Loamy (Thịt/Phù sa),1.477653631,19.631500000000003,60.0,0,49.52,No need to do,8.73,Boroi,33.97,July,Rabi,0.5118091536297626
4.169441903407631,883.0219275597883,0.3081769511973575,22.73,656.33,2.48188524590164,16.01,5.86,41.26,Bagerhat,28.25,1.8112869864403789,3.89,14.77098688500372,5.73,301.5819733879906,Loamy (Thịt/Phù sa),2.843137255,28.878196721311475,65.0,54,49.52,March to April,8.73,Taramind,33.97,February,Kharif 1,0.2671469327157075
6.3149949671671255,560.4940229941045,0.3116314170521451,11.23,220.43,1.4529166666666666,8.35,4.33,30.58,Bagerhat,28.25,2.968781250963403,3.89,12.078042549735049,5.73,297.294524997996,Loamy (Thịt/Phù sa),4.158401541,19.631500000000003,80.0,0,49.52,Jan to Jan,8.73,Banana,33.97,Jan,Rabi,0.5118091536297626
6.3149949671671255,560.4940229941045,0.3116314170521451,11.23,220.43,1.4529166666666666,8.35,4.33,30.58,Bagerhat,28.25,2.968781250963403,3.89,12.078042549735049,5.73,297.294524997996,Loamy (Thịt/Phù sa),4.404494382,19.631500000000003,77.5,0,49.52,Jan to Jan,8.73,Lemon,33.97,Jan,Rabi,0.5118091536297626
4.169441903407631,883.0219275597883,0.3081769511973575,22.73,656.33,2.48188524590164,16.01,5.86,41.26,Bagerhat,28.25,1.8112869864403789,3.89,14.77098688500372,5.73,301.5819733879906,Loamy (Thịt/Phù sa),22.96551724,28.878196721311475,70.0,54,49.52,No need to do,8.73,Safeda,33.97,April,Kharif 1,0.2671469327157075
5.780086386688027,517.8162711223541,0.3431915358837492,52.27,1451.65,2.063739837398374,18.56,7.47,33.57,Bagerhat,28.25,2.788745853500626,3.89,25.24011305318693,5.73,300.15712075135025,Loamy (Thịt/Phù sa),1.717948718,27.76869918699187,72.5,0,49.52,Sep to Jan,8.73,Patal,33.97,Aug,Kharif 2,0.507816116388428
